id,shares
0,830.0
1,1710.0
2,890.0
3,780.0
4,1040.0
5,470.0
6,340.0
7,620.0
8,730.0
9,800.0
10,1570.0
11,2200.0
12,1960.0
13,900.0
14,-20.0
15,930.0
16,850.0
17,820.0
18,1620.0
19,180.0
20,920.0
21,920.0
22,960.0
23,480.0
24,210.0
25,760.0
26,2060.0
27,1030.0
28,1530.0
29,1460.0
30,940.0
31,270.0
32,2470.0
33,1100.0
34,510.0
35,1260.0
36,320.0
37,1400.0
38,2280.0
39,1650.0
40,750.0
41,1880.0
42,890.0
43,2020.0
44,2070.0
45,1550.0
46,1840.0
47,0.0
48,510.0
49,1690.0
50,360.0
51,1100.0
52,1040.0
53,850.0
54,210.0
55,900.0
56,1050.0
57,380.0
58,130.0
59,880.0
60,970.0
61,490.0
62,-20.0
63,1350.0
64,770.0
65,700.0
66,1180.0
67,1170.0
68,2080.0
69,2450.0
70,670.0
71,1020.0
72,1210.0
73,2400.0
74,2970.0
75,1670.0
76,580.0
77,1950.0
78,510.0
79,1460.0
80,1060.0
81,2000.0
82,1190.0
83,930.0
84,1170.0
85,920.0
86,880.0
87,580.0
88,1410.0
89,1660.0
90,3910.0
91,1570.0
92,910.0
93,330.0
94,850.0
95,880.0
96,2380.0
97,1180.0
98,1820.0
99,1030.0
100,320.0
101,820.0
102,1240.0
103,1060.0
104,750.0
105,1190.0
106,-60.0
107,850.0
108,70.0
109,1080.0
110,640.0
111,110.0
112,1960.0
113,660.0
114,970.0
115,850.0
116,570.0
117,710.0
118,110.0
119,1250.0
120,2210.0
121,610.0
122,1860.0
123,980.0
124,1660.0
125,1030.0
126,1250.0
127,600.0
128,1440.0
129,1030.0
130,2000.0
131,150.0
132,700.0
133,1390.0
134,680.0
135,930.0
136,1230.0
137,750.0
138,280.0
139,590.0
140,1270.0
141,500.0
142,1540.0
143,1460.0
144,1140.0
145,1120.0
146,960.0
147,550.0
148,2060.0
149,740.0
150,820.0
151,1650.0
152,980.0
153,190.0
154,880.0
155,340.0
156,1400.0
157,1680.0
158,1100.0
159,1090.0
160,970.0
161,1110.0
162,1270.0
163,440.0
164,250.0
165,550.0
166,-50.0
167,1220.0
168,760.0
169,530.0
170,960.0
171,180.0
172,560.0
173,330.0
174,780.0
175,160.0
176,1010.0
177,1600.0
178,510.0
179,-30.0
180,1870.0
181,1360.0
182,1300.0
183,1330.0
184,1340.0
185,1580.0
186,1570.0
187,680.0
188,1250.0
189,1580.0
190,540.0
191,900.0
192,1980.0
193,850.0
194,940.0
195,1000.0
196,1480.0
197,750.0
198,420.0
199,2750.0
200,950.0
201,850.0
202,270.0
203,1870.0
204,220.0
205,640.0
206,640.0
207,260.0
208,630.0
209,1480.0
210,1470.0
211,320.0
212,1340.0
213,1200.0
214,1020.0
215,1350.0
216,1270.0
217,1110.0
218,460.0
219,1720.0
220,350.0
221,1350.0
222,2020.0
223,420.0
224,310.0
225,710.0
226,600.0
227,760.0
228,630.0
229,750.0
230,2730.0
231,810.0
232,1070.0
233,900.0
234,960.0
235,830.0
236,1110.0
237,1180.0
238,760.0
239,1110.0
240,1150.0
241,870.0
242,710.0
243,320.0
244,440.0
245,1650.0
246,23070.0
247,750.0
248,2030.0
249,1180.0
250,1010.0
251,650.0
252,2120.0
253,1300.0
254,250.0
255,620.0
256,1040.0
257,870.0
258,1530.0
259,860.0
260,1020.0
261,980.0
262,170.0
263,1360.0
264,1170.0
265,2300.0
266,790.0
267,540.0
268,1980.0
269,630.0
270,630.0
271,1300.0
272,1640.0
273,1010.0
274,1520.0
275,1070.0
276,1170.0
277,740.0
278,1340.0
279,1730.0
280,1330.0
281,940.0
282,1230.0
283,330.0
284,700.0
285,1800.0
286,760.0
287,1790.0
288,1550.0
289,1530.0
290,620.0
291,910.0
292,1050.0
293,1100.0
294,2200.0
295,2320.0
296,1220.0
297,790.0
298,530.0
299,650.0
300,110.0
301,2060.0
302,2140.0
303,1530.0
304,770.0
305,870.0
306,1300.0
307,660.0
308,1420.0
309,800.0
310,790.0
311,1740.0
312,630.0
313,280.0
314,1930.0
315,730.0
316,11550.0
317,720.0
318,560.0
319,390.0
320,2210.0
321,1230.0
322,1310.0
323,710.0
324,1620.0
325,1650.0
326,1490.0
327,790.0
328,1130.0
329,890.0
330,1560.0
331,780.0
332,1600.0
333,240.0
334,330.0
335,780.0
336,800.0
337,600.0
338,1130.0
339,1760.0
340,1620.0
341,880.0
342,560.0
343,960.0
344,560.0
345,530.0
346,610.0
347,1010.0
348,1800.0
349,970.0
350,1710.0
351,1440.0
352,2140.0
353,440.0
354,150.0
355,1250.0
356,980.0
357,1630.0
358,400.0
359,1800.0
360,490.0
361,1070.0
362,240.0
363,1800.0
364,790.0
365,1020.0
366,750.0
367,100.0
368,1260.0
369,730.0
370,1130.0
371,1730.0
372,170.0
373,230.0
374,230.0
375,1050.0
376,390.0
377,800.0
378,720.0
379,1020.0
380,1650.0
381,1310.0
382,1170.0
383,1830.0
384,220.0
385,1100.0
386,1080.0
387,170.0
388,1960.0
389,1820.0
390,330.0
391,920.0
392,660.0
393,350.0
394,230.0
395,770.0
396,310.0
397,1350.0
398,1060.0
399,1870.0
400,1920.0
401,1290.0
402,1020.0
403,410.0
404,550.0
405,2470.0
406,1660.0
407,1020.0
408,1640.0
409,1210.0
410,1660.0
411,1350.0
412,660.0
413,1410.0
414,2360.0
415,210.0
416,1520.0
417,1350.0
418,330.0
419,1170.0
420,1790.0
421,990.0
422,960.0
423,1350.0
424,1870.0
425,1280.0
426,660.0
427,1270.0
428,630.0
429,230.0
430,1690.0
431,1710.0
432,-30.0
433,1040.0
434,330.0
435,1610.0
436,560.0
437,1330.0
438,1730.0
439,220.0
440,870.0
441,0.0
442,860.0
443,1270.0
444,490.0
445,870.0
446,850.0
447,1110.0
448,1370.0
449,0.0
450,1450.0
451,1730.0
452,580.0
453,570.0
454,270.0
455,670.0
456,2200.0
457,1300.0
458,470.0
459,-90.0
460,1600.0
461,1690.0
462,570.0
463,1820.0
464,560.0
465,1190.0
466,510.0
467,590.0
468,720.0
469,1150.0
470,530.0
471,930.0
472,1070.0
473,1210.0
474,970.0
475,780.0
476,1450.0
477,1000.0
478,820.0
479,660.0
480,900.0
481,410.0
482,1060.0
483,1040.0
484,590.0
485,630.0
486,1180.0
487,900.0
488,2010.0
489,490.0
490,740.0
491,950.0
492,2590.0
493,920.0
494,340.0
495,1860.0
496,610.0
497,1460.0
498,2000.0
499,360.0
500,1580.0
501,1740.0
502,1440.0
503,640.0
504,900.0
505,760.0
506,650.0
507,1230.0
508,580.0
509,1550.0
510,1230.0
511,1530.0
512,940.0
513,1500.0
514,880.0
515,310.0
516,1210.0
517,1330.0
518,1120.0
519,1190.0
520,700.0
521,1910.0
522,1630.0
523,480.0
524,1610.0
525,1330.0
526,770.0
527,1680.0
528,610.0
529,2320.0
530,500.0
531,300.0
532,1160.0
533,630.0
534,880.0
535,820.0
536,670.0
537,630.0
538,1920.0
539,1640.0
540,1680.0
541,1860.0
542,650.0
543,2800.0
544,1010.0
545,1210.0
546,1230.0
547,2220.0
548,1020.0
549,1460.0
550,1030.0
551,2220.0
552,1620.0
553,830.0
554,1930.0
555,1640.0
556,2060.0
557,820.0
558,960.0
559,70.0
560,2020.0
561,1160.0
562,1010.0
563,740.0
564,1330.0
565,1260.0
566,620.0
567,1420.0
568,1380.0
569,2290.0
570,880.0
571,1470.0
572,1110.0
573,1510.0
574,1210.0
575,260.0
576,1030.0
577,1250.0
578,1030.0
579,870.0
580,-180.0
581,290.0
582,2040.0
583,180.0
584,610.0
585,1130.0
586,710.0
587,-20.0
588,350.0
589,1220.0
590,1480.0
591,920.0
592,940.0
593,1440.0
594,650.0
595,70.0
596,230.0
597,1050.0
598,1560.0
599,660.0
600,1420.0
601,1070.0
602,340.0
603,890.0
604,1330.0
605,660.0
606,400.0
607,1730.0
608,1000.0
609,740.0
610,1510.0
611,440.0
612,1860.0
613,10.0
614,1490.0
615,630.0
616,860.0
617,10.0
618,880.0
619,910.0
620,770.0
621,570.0
622,860.0
623,1490.0
624,490.0
625,940.0
626,800.0
627,830.0
628,1270.0
629,970.0
630,970.0
631,2050.0
632,330.0
633,990.0
634,890.0
635,2060.0
636,1940.0
637,1270.0
638,1500.0
639,1890.0
640,2090.0
641,660.0
642,1290.0
643,500.0
644,740.0
645,1050.0
646,800.0
647,1890.0
648,1090.0
649,700.0
650,300.0
651,460.0
652,270.0
653,10.0
654,1170.0
655,1370.0
656,650.0
657,170.0
658,480.0
659,1990.0
660,720.0
661,1430.0
662,1750.0
663,1450.0
664,720.0
665,1940.0
666,1450.0
667,1450.0
668,2300.0
669,1360.0
670,730.0
671,670.0
672,810.0
673,50.0
674,680.0
675,1170.0
676,580.0
677,790.0
678,370.0
679,2040.0
680,1780.0
681,530.0
682,400.0
683,1830.0
684,1230.0
685,540.0
686,1210.0
687,790.0
688,370.0
689,800.0
690,1950.0
691,1940.0
692,570.0
693,490.0
694,790.0
695,-60.0
696,1000.0
697,1050.0
698,300.0
699,690.0
700,620.0
701,2130.0
702,870.0
703,540.0
704,1210.0
705,240.0
706,-220.0
707,660.0
708,-30.0
709,1390.0
710,720.0
711,1500.0
